hoja_origen,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20
CONTENIDO GENERAL,I,INFORMACIÓN GENERAL,,,,70000,CUBIERTAS E IMPERMEABILIZACION,,,,,,,,,,,,,
CONTENIDO GENERAL,Costos Directos Promedio,,Pag.,7,,70500,CIELORASOS:,Pag.,105,,,,,,,,,,,
CONTENIDO GENERAL,Índice de Costos 2025,,Pag.,9,,71000,CUBIERTAS:,Pag.,106,,,,,,,,,,,
CONTENIDO GENERAL,Distribución Costos Directos,,Pag.,10,,72000,IMPERMEABILIZACIONES:,Pag.,106,,,,,,,,,,,
CONTENIDO GENERAL,Costo de Cuadrillas de Mano de Obra,,Pag.,11,,80000,PISOS Y ZOCALOS:,,,,,,,,,,,,,
CONTENIDO GENERAL,Tarifas Profesionales de Arquitectura,,Pag.,13,,80500,SUB-BASES:,Pag.,107,,,,,,,,,,,
CONTENIDO GENERAL,Tarifas Profesionales de Ingeniería,,Pag.,15,,81000,DE BALDOSAS:,Pag.,107,,,,,,,,,,,
CONTENIDO GENERAL,Directorio Regional de Proveedores,,Pag.,16,,81500,DE CERAMICA:,Pag.,107,,,,,,,,,,,
CONTENIDO GENERAL,,,,3,,82000,DE GRANITO:,Pag.,108,,,,,,,,,,,
CONTENIDO GENERAL,II,LISTAS DE PRECIOS DE RECURSOS E INSUMOS,,,,82500,DE CONCRETO:,Pag.,108,,,,,,,,,,,
CONTENIDO GENERAL,Acabados,,Pag.,28,,83000,DE EXTERIORES:,Pag.,109,,,,,,,,,,,
CONTENIDO GENERAL,Accesorios,,Pag.,29,,84000,ZOCALOS:,Pag.,109,,,,,,,,,,,
CONTENIDO GENERAL,Aceros,,Pag.,30,,90000,ENCHAPES Y REVESTIMIENTOS:,,,,,,,,,,,,,
CONTENIDO GENERAL,Aditivos de Construcción,,Pag.,31,,90500,GENERALES INTERIORES:,Pag.,109,,,,,,,,,,,
CONTENIDO GENERAL,Agregados de Concreto,,Pag.,32,,100000,INSTALACIONES HIDRAULICAS:,,,,,,,,,,,,,
CONTENIDO GENERAL,Bloques y ladrillos,,Pag.,33,,100500,AGUA POTABLE:,Pag.,110,,,,,,,,,,,
CONTENIDO GENERAL,Carpintería Metálica y Madera,,Pag.,36,,101000,AGUAS NEGRAS:,Pag.,112,,,,,,,,,,,
CONTENIDO GENERAL,Cerraduras ,,Pag.,39,,101500,RED DE VENTILACION:,Pag.,113,,,,,,,,,,,
CONTENIDO GENERAL,Concretos y cementos,,Pag.,41,,102000,AGUAS LLUVIAS:,Pag.,113,,,,,,,,,,,
CONTENIDO GENERAL,Cubiertas ,,Pag.,42,,110000,INSTALACIONES ELECTRICAS:,,,,,,,,,,,,,
CONTENIDO GENERAL,Enchapes y Pisos,,Pag.,46,,110500,ACOMETIDAS:,Pag.,113,,,,,,,,,,,
CONTENIDO GENERAL,Equipos,,Pag.,52,,111000,SALIDAS:,Pag.,114,,,,,,,,,,,
CONTENIDO GENERAL,Ferreterias ,,Pag.,56,,111500,SUBESTACIONES Y TABLEROS:,Pag.,114,,,,,,,,,,,
CONTENIDO GENERAL,Geotextiles ,,Pag.,58,,120000,APARATOS SANITARIOS:,,,,,,,,,,,,,
CONTENIDO GENERAL,Griferías,,Pag.,59,,120500,JUEGOS COMPLETOS:,Pag.,115,,,,,,,,,,,
CONTENIDO GENERAL,Icopor y Prefabricados,,Pag.,61,,121000,JUEGOS AUXILIARES:,Pag.,115,,,,,,,,,,,
CONTENIDO GENERAL,Impermeabilizantes y Asfaltos,,Pag.,63,,121500,UNIDADES:,Pag.,116,,,,,,,,,,,
CONTENIDO GENERAL,Implementos eléctricos,,Pag.,64,,130000,CARPINTERIA DE MADERA:,,,,,,,,,,,,,
CONTENIDO GENERAL,Mallas y cerramientos,,Pag.,68,,130500,MARCOS Y PUERTAS:,Pag.,116,,,,,,,,,,,
CONTENIDO GENERAL,Sanitarios,,Pag.,68,,131000,CLOSETS:,Pag.,118,,,,,,,,,,,
CONTENIDO GENERAL,Tuberías,,Pag.,69,,140000,CERRAJERIAS:,,,,,,,,,,,,,
CONTENIDO GENERAL,Listas de Recursos Usados en A.P.U.,,Pag.,79,,140500,DE ACCESO:,Pag.,118,,,,,,,,,,,
CONTENIDO GENERAL,,,,,,141000,DE BAÑO:,Pag.,118,,,,,,,,,,,
CONTENIDO GENERAL,III,SUBANÁLISIS BÁSICOS Y MATERIALES COMPUESTOS,,,,141500,DE ALCOBA:,Pag.,118,,,,,,,,,,,
CONTENIDO GENERAL,Aceros  de Refuerzo en Obra,,Pag.,88,,142000,DE OFICINAS:,Pag.,118,,,,,,,,,,,
CONTENIDO GENERAL,Concretos en Obra,,Pag.,88,,150000,CARPINTERIA METALICA:,,,,,,,,,,,,,
CONTENIDO GENERAL,Morteros en Obra  ,,Pag.,88,,151000,VENTANAS:,Pag.,118,,,,,,,,,,,
CONTENIDO GENERAL,Morteros en Obra con Central de Mezclas,,Pag.,89,,151500,DIVISIONES DE BAÑOS:,Pag.,119,,,,,,,,,,,
CONTENIDO GENERAL,Formaletas,,Pag.,89,,200000,ACABADOS:,,,,,,,,,,,,,
CONTENIDO GENERAL,Instalaciones de Campamento  ,,Pag.,89,,200500,INTERIORES:,Pag.,119,,,,,,,,,,,
CONTENIDO GENERAL,Cuadrillas Western Form  ,,Pag.,90,,201000,EXTERIORES:,Pag.,119,,,,,,,,,,,
CONTENIDO GENERAL,,,,,,210000,EQUIPOS Y HERRAMIENTAS:,,,,,,,,,,,,,
CONTENIDO GENERAL,IV,A.P.U. DE EDIFICACIONES,,,,210500,DOTACIONES HERRAMIENTAS:,Pag.,120,,,,,,,,,,,
CONTENIDO GENERAL,,,,,,211000,EQUIPOS:,Pag.,121,,,,,,,,,,,
CONTENIDO GENERAL,10000,OBRAS PRELIMINARES:,,,,220000,ADMINISTRACION EN LA OBRA:,,,,,,,,,,,,,
CONTENIDO GENERAL,10500,DEMOLICIONES Y RETIROS:,Pag.,91,,220001,NOMINAS DE OBRAS:,Pag.,121,,,,,,,,,,,
CONTENIDO GENERAL,11000,INSTALACIONES PROVISIONALES:,Pag.,92,,,,,,,,,,,,,,,,
CONTENIDO GENERAL,11500,TRAZADOS :,Pag.,93,,V,A.P.U. DE OBRAS CIVILES,,,,,,,,,,,,,
CONTENIDO GENERAL,20000,EXCAVACION Y CIMENTACIONES:,,,,,,,,,,,,,,,,,,
CONTENIDO GENERAL,20500,EXCAVACIONES GENERALES:,Pag.,93,,310000,OBRAS PRELIMINARES:,,,,,,,,,,,,,
CONTENIDO GENERAL,21000,EXCAVACION PARA CIMENTACIONES,Pag.,94,,311000,DEMOLICIONES:,Pag.,123,,,,,,,,,,,
CONTENIDO GENERAL,21500,EXCAVACION PARA REDES:,Pag.,94,,311500,RETIROS Y DESALOJOS:,Pag.,123,,,,,,,,,,,
CONTENIDO GENERAL,21500,EXCAVACION TANQUES Y FOSOS:,Pag.,94,,312000,MOVIMIENTOS DE TIERRA :,Pag.,123,,,,,,,,,,,
CONTENIDO GENERAL,22500,RELLENOS Y NIVELACIONES:,Pag.,94,,312500,RELLENOS Y NIVELACIONES:,Pag.,123,,,,,,,,,,,
CONTENIDO GENERAL,23000,CIMENTACION DE MUROS:,Pag.,94,,313000,EXCAVACIONES GENERALES:,Pag.,123,,,,,,,,,,,
CONTENIDO GENERAL,23500,SOBRENIVELES:,Pag.,94,,320000,ALCANTARILLADO:,,,,,,,,,,,,,
CONTENIDO GENERAL,30000,INSTALACIONES SUBTERRANEAS:,,,,320500,EXCAVACIONES:,Pag.,124,,,,,,,,,,,
CONTENIDO GENERAL,30500,REGISTROS:,Pag.,95,,322000,TUBERIA CONCRETO:,Pag.,125,,,,,,,,,,,
CONTENIDO GENERAL,40000,MAMPOSTERIAS:,,,,322500,TUBERIAS DE PVC DURAFORT:,Pag.,125,,,,,,,,,,,
CONTENIDO GENERAL,40500,LADRILLO COMUN:,Pag.,95,,325000,CAMARAS DE INSPECCION:,Pag.,125,,,,,,,,,,,
CONTENIDO GENERAL,41000,BLOQUE DE CEMENTO:,Pag.,95,,325500,CAJAS DE INSPECCION:,Pag.,126,,,,,,,,,,,
CONTENIDO GENERAL,41500,BLOQUE ARCILLA:,Pag.,96,,326500,CAMARAS DE CAIDA:,Pag.,126,,,,,,,,,,,
CONTENIDO GENERAL,41600,MAMPOSTERIA EN SECO,Pag.,96,,327000,CAJAS DE EMPALME:,Pag.,126,,,,,,,,,,,
CONTENIDO GENERAL,41800,MAMPOSTERIA CENTRAL DE MEZCLAS,Pag.,97,,330000,ACUEDUCTOS,,,,,,,,,,,,,
CONTENIDO GENERAL,42000,DINTELES:,Pag.,98,,330500,EXCAVACIONES:,Pag.,127,,,,,,,,,,,
CONTENIDO GENERAL,43000,ALFAJIAS:,Pag.,98,,331500,TUBERIAS PVC,Pag.,127,,,,,,,,,,,
CONTENIDO GENERAL,50000,PAÑETES:,,,,335000,ACOMETIDAS:,Pag.,127,,,,,,,,,,,
CONTENIDO GENERAL,50500,INTERIORES:,Pag.,98,,335500,CAJAS DE VALVULAS:,Pag.,127,,,,,,,,,,,
CONTENIDO GENERAL,51000,EXTERIORES:,Pag.,99,,336000,VALVULAS Y LLAVES:,Pag.,128,,,,,,,,,,,
CONTENIDO GENERAL,60000,ESTRUCTURAS:,,,,340000,ESTRUCTURAS CIVILES,,,,,,,,,,,,,
CONTENIDO GENERAL,60500,EXCAVACIONES:,Pag.,99,,340500,EXCAVACION FUNDACION:,Pag.,129,,,,,,,,,,,
CONTENIDO GENERAL,61000,CIMENTACIONES:,Pag.,99,,341000,ACEROS:,Pag.,129,,,,,,,,,,,
CONTENIDO GENERAL,61500,ESCALERAS:,Pag.,100,,341500,CONCRETOS:,Pag.,129,,,,,,,,,,,
CONTENIDO GENERAL,62000,MUROS ESTRUCTURALES:,Pag.,101,,350000,VIAS :,,,,,,,,,,,,,
CONTENIDO GENERAL,62500,TANQUES:,Pag.,101,,350500,SUB-BASES:,Pag.,129,,,,,,,,,,,
CONTENIDO GENERAL,63000,LOSAS:,Pag.,102,,351000,BASES:,Pag.,129,,,,,,,,,,,
CONTENIDO GENERAL,63500,COLUMNAS:,Pag.,103,,352000,CONCRETOS ASFALTICOS:,Pag.,130,,,,,,,,,,,
CONTENIDO GENERAL,64000,VIGAS:,Pag.,103,,352500,CONCRETOS:,Pag.,130,,,,,,,,,,,
CONTENIDO GENERAL,64500,ACEROS DE REFUERZO:,Pag.,103,,353000,ADOQUINES:,Pag.,131,,,,,,,,,,,
CONTENIDO GENERAL,65000,MAMPOSTERIA DE CONCRETO:,Pag.,104,,354000,ACABADOS LATERALES:,Pag.,132,,,,,,,,,,,
CONTENIDO GENERAL,65500,PLACAS DE CIMENTACION:,Pag.,104,,,,,,,,,,,,,,,,
CONTENIDO GENERAL,66500,LOSAS EN METALDECK,Pag.,104,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,MULTIFAMILIARES:,,,,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,TIPO:,DESCRIPCION:,CIUDAD:,PROMEDIO/M2,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"MEDIO – ALTO
115","Estructura típica de concreto. Altura: 5-8 pisos. Apartamentos de 80 M2 en promedio, con tres alcobas, dos baños, baño auxiliar, alcoba de servicio con baño, cocina y labores. Acabados totales y closets.",PROMEDIO NACIONAL,4098472.162086016,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,4290869.234228322,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,4225154.47357001,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,4225154.47357001,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,4220416.477155167,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"MEDIO – MEDIO
116","Estructura típica de concreto. Altura: 5-8 pisos. Apartamentos de 70 M2 en promedio, con tres alcobas, dos baños, alcoba de servicio con baño, cocina y labores. Acabados totales y closets.",PROMEDIO NACIONAL,3626081.518372367,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,3798063.5182245807,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,3583847.8525739945,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,3744889.716911229,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,3740380.8171257833,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"MEDIO – BAJO
117","Estructura típica de concreto. Altura: 5-8 pisos, apartamentos de 70 M2 en promedio, con tres alcobas, dos baños, alcoba de servicio con baño, cocina y labores. Acabados totales y closets.",PROMEDIO NACIONAL,2655407.424300892,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,2778856.1918762377,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,2619206.0042006588,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,2734225.273692234,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,2730986.8693391094,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"ECONOMICO
118","Estructura típica de concreto, cubierta en asbesto cemento. Altura: 5-8 pisos. Apartamentos de 54 M2 en promedio, con tres alcobas, dos baños, cocina y labores. Acabados parciales y closet en una alcoba.",PROMEDIO NACIONAL,2537508.1882460266,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,2658525.0911053787,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,2503385.560512251,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,2615640.7128418805,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,2612355.1519781076,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"ECONÓMICO
Sin Acabados
119","Estructura típica de concreto, cubierta en asbesto cemento. Altura: 5-8 pisos. Apartamentos de 54 M2 en promedio, con tres alcobas, dos baños, cocina y labores. Zonas húmedas con piso y enchapes. Sin closets ni puertas.",PROMEDIO NACIONAL,2356039.3525666636,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,2469019.281136773,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,2321831.7519422635,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,2426552.5725044264,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,2423593.3975781533,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"MAMPOSTERÍA
CONCRETO
120","Mampostería estructural en concreto, cubierta en asbesto cemento. Altura: 5-8 pisos,  apartamentos de 50 M2 en promedio, con tres alcobas, dos baños, cocina y labores. Acabados parciales con piso y enchapes. Con closets y puertas.",PROMEDIO NACIONAL,2167758.1156373923,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,2254659.0057297163,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,2156952.45111054,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,2239541.415183701,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,2238364.063805826,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"MAMPOSTERIA
CONCRETO
Sin Acabados
121","Mampostería estructural en concreto, cubierta en asbesto cemento. Altura: 5-8 pisos, apartamentos de 50 M2 en promedio, con tres alcobas, dos baños, cocina y labores. Acabados parciales en zonas humedas.",PROMEDIO NACIONAL,1965783.8920388988,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,2041001.560368721,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,1954886.4567901713,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,2026549.5737050725,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,2025724.7191396973,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,,,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,UNIFAMILIARES EN CONJUNTO:,,,,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"MEDIO
125","Estructura de muros de bloque de cemento. Altura: 2 pisos, área de 72 M2 en promedio, lote de seis metros de frente, con tres alcobas, dos baños, baño auxiliar, cocina y patio. Acabados totales y closets.",PROMEDIO NACIONAL,1921655.8651087629,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,2015485.5646006959,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,1886721.732751982,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,1974829.5407325712,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,1968702.8499652972,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"BAJO
126","Estructura de muros de bloque de cemento. Altura: 2 pisos, área de 60 M2 en promedio, lote de seis metros de frente, con tres alcobas, dos baños, cocina y patio. Acabados parciales y closets.",PROMEDIO NACIONAL,2035839.5196517662,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,2134567.492962165,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,1999385.6632672136,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,2091751.718487061,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,2085720.1504601862,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"BAJO
sin Acabados
127","Estructura de muros de bloque de cemento. Altura: 2 pisos, área de 60 M2 en promedio, lote de seis metros de frente, con tres alcobas, dos baños, cocina y patio. Zonas húmedas con piso y enchapes.",PROMEDIO NACIONAL,1597667.109333174,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,1670537.5252919174,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,1560887.403331434,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,1628959.9082107928,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,1624205.432215168,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"Costos Directos incluyen: Materiales, Mano de Obra, Equipos y Herramientas en Obra, Transportes, Instalaciones de Obras Preliminares y Administración en la Obra.",,,,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,,,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,VIVIENDA:,,,,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,TIPO:,DESCRIPCION:,CIUDAD:,PROMEDIO/M2,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"VIVIENDA
MODULO-BÁSICO
128","Estructura de muros de bloque de cemento. Cubierta en asbesto cemento, área de 30 M2 en promedio, lote de seis metros de frente, con zona común, baño, espacio de escalera, cocina y patio. ",PROMEDIO NACIONAL,1506857.9585337124,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,1569486.4874513934,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,1431592.81480358,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,1486475.4351082703,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,1481777.2520820205,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"VIVIENDA
INTERÉS
PRIORITARIO
129","Muros de bloque de arcilla, placa de cimentación, cubierta en asbesto aemento de un agua, área de 27 M2 en promedio, lote de seis metros de frente ,con zona común, baño, alcoba, cocina y patio. ",PROMEDIO NACIONAL,1411674.1466853172,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,1467846.252560565,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,1336065.8650814346,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,1384664.7983312763,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,1381284.6283300263,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,,,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,OTROS  TIPOS:,,,,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,TIPO:,DESCRIPCION:,CIUDAD:,PROMEDIO/M2,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"EDIFICIO
COMERCIAL
3060","Estructura típica de concreto, alturas hasta 4 pisos, cubierta en concreto, baños colectivos, acabados interiores, pisos de cerámica.",PROMEDIO NACIONAL,5161390.617785265,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,5375431.633838004,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,5094664.596847069,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,5296783.779154133,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,5289496.904412234,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"BODEGA
TIPO 1
3065","Estructura de concreto, cubierta de asbesto cemento, cerramientos en bloque, pisos de concreto con oficinas en primer piso.",PROMEDIO NACIONAL,2328931.889565622,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,2423941.377272493,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,2271355.090600319,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,2361130.520491778,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,2356974.407921465,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"BODEGA
TIPO 2
3066","Estructura concreto con cercha metálica, cubierta de asbesto cemento, cerramientos en bloque, pisos de concretocon  oficinas en primer piso.",PROMEDIO NACIONAL,2348562.9418037506,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,2425564.0333019393,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,2293156.1255257525,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,2362973.518613962,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,2360507.169320993,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"BODEGA
TIPO 3
3067","Estructura concreto con cercha metálica, cubierta lamina metalica, cerramientos en bloque, pisos de concreto con oficinas en primer piso.",PROMEDIO NACIONAL,2437043.4748895825,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,2512026.226649788,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,2381636.658611585,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,2449579.8790859524,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,2447113.5297929836,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"MEZZANINE
PRIMER PISO
CUBIERTA LOSA
3068","Estructura de típica de concreto, acabados totales para oficinas, con baños colectivos damas y caballeros, puertas de madera y ventanerias en aluminio.",PROMEDIO NACIONAL,2338272.2057630564,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,2453940.762130202,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,2308421.4138367856,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,2417916.899028837,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,2413922.427499323,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"MEZZANINE
SEGUNDO PISO
CIELO RASO
3069","Sobre estructura de típica de concreto, acabados totales para oficinas, con baños colectivos damas y caballeros, cielo rasos en yeso cartón, puertas de madera y ventanerias en aluminio.",PROMEDIO NACIONAL,1465953.007026032,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,1525496.8216425446,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,1435916.716003928,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,1493140.4415224749,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,1489858.4830762947,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"PARQUEOS EN
SÓTANO
170","Estructura de típica de concreto, sin acabados ,incluye excavación y retiro. Para sumar en análisis de costos en edificación.",PROMEDIO NACIONAL,2087899.3710747296,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,2201852.423029451,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,2084419.582736261,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,2194594.4862331967,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,2193524.854238822,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"PARQUEOS EN
EDIFICIO
171","Estructura de típica de concreto, sin acabados ,No incluye excavación y retiro, muros interiores divisorios. Para sumar en análisis de costos en edificación.",PROMEDIO NACIONAL,1785647.0659942953,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BOGOTÁ D.C.,1883253.8801627564,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,MEDELLÍN,1782167.2776558264,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,CALI,1877163.5317798061,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,,,BARRANQUILLA,1876093.8997854313,,,,,,,,,,,,,,,,
COSTOS DIRECTOS PROMEDIO,"Costos Directos incluyen: Materiales, Mano de Obra, Equipos y Herramientas en Obra, Transportes, Instalaciones de Obras Preliminares y Administración en la Obra.",,,,,,,,,,,,,,,,,,,
ÍNDICE DE COSTOS 2025,,EDICIÓN,EDICIÓN,EDICIÓN,EDICIÓN,EDICIÓN,EDICIÓN,EDICIÓN,,,,,,,,,,,,
ÍNDICE DE COSTOS 2025,,200,201,202,203,204,205,206,,,,,,,,,,,,
