hoja_origen,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20
LISTA DE RECURSOS A.P.U.,70024,Chaza de madera,UN,EQUIPOS ,PROMEDIO,365,365,365,365,365,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70025,Guarderas madera viga,DI,EQUIPOS ,EQUINORTE,321,321,321,321,321,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70027,Diagonal larga/corta,UN,EQUIPOS ,PROMEDIO,125,125,125,125,125,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70030,Tablones andamio,DI,EQUIPOS ,EQUINORTE,1425,1425,1425,1425,1425,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70031,Andamio colgante ,DI,EQUIPOS ,EQUINORTE,5735,5735,5735,5735,5735,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70033,Mezcladora con oper,DI,EQUIPOS ,EQUINORTE,82600,82600,82600,82600,82600,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70034,Vibrador electrico con oper,DI,EQUIPOS ,EQUINORTE,64260,64260,64260,64260,64260,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70036,Rieles para pavimento,DI,EQUIPOS ,FORMALETAS Y EQUIPOS,3367,3367,3367,3367,3367,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70040,Bomba de prueba hidraulica,DI,EQUIPOS ,EQUINORTE,9288,9288,9288,9288,9288,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70043,Compactador un rodillo,DI,EQUIPOS ,EQUINORTE,255850,255850,255850,255850,255850,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70044,Compresor con un martillo,DI,EQUIPOS ,PROMEDIO,63000,63000,63000,63000,63000,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70047,Volqueta 5.5 M3 Viaje,VI,EQUIPOS ,CONTRATISTAS,65000,65000,65000,65000,65000,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70090,Bulldozer (desmonte),HO,EQUIPOS ,PROMEDIO,210000,210000,210000,210000,210000,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70096,Buldozer d-6 d por horas,HO,EQUIPOS ,EQUIPO PESADO,216580,216580,216580,216580,216580,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70099,Motoniveladora 12G,HO,EQUIPOS ,EQUIPO PESADO,228480,228480,228480,228480,228480,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70100,Vibrocompactador 12 tons CA250D,HO,EQUIPOS ,EQUIPO PESADO,169650,169650,169650,169650,169650,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70101,Tablero 70x140,DI,EQUIPOS ,EQUINORTE,364,364,364,364,364,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70102,Guardera 45x140,DI,EQUIPOS ,EQUINORTE,321,321,321,321,321,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70103,Diagonal(cruceta) larga,DI,EQUIPOS ,EQUINORTE,124,124,124,124,124,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70105,Taco metalico 2 a 33 ms,DI,EQUIPOS ,EQUINORTE,250,250,250,250,250,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70106,Viga metalica celosia,DI,EQUIPOS ,EQUINORTE,250,250,250,250,250,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70107,Concretadora 6 p3(1 bto) gas,DI,EQUIPOS ,EQUINORTE,64855,64855,64855,64855,64855,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70108,Concretadora 6 p3(1 bto) elec,DI,EQUIPOS ,EQUINORTE,64855,64855,64855,64855,64855,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70109,Malacate pluma,DI,EQUIPOS ,EQUINORTE,54740,54740,54740,54740,54740,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70110,Malacate de 3000 lbs,DI,EQUIPOS ,EQUINORTE,54740,54740,54740,54740,54740,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70111,Malacate de 2000 lbs,DI,EQUIPOS ,EQUINORTE,54740,54740,54740,54740,54740,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70122,Andamio colgante (40 ms),DI,EQUIPOS ,EQUINORTE,5516,5516,5516,5516,5516,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70125,Rieles para pavimento,DI,EQUIPOS ,EQUINORTE,3367,3367,3367,3367,3367,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70137,Formaleta metal colu240x040,DI,EQUIPOS ,FORMALETAS Y EQUIPOS,6840,6840,6840,6840,6840,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70143,Cilindro de Prueba,DI,EQUIPOS ,EQUINORTE,4141,4141,4141,4141,4141,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70148,Mezcladora de 6 p3  sin op,DI,EQUIPOS ,FORMALETAS Y EQUIPOS,64835,64835,64835,64835,64835,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70151,Vibrocompactadora rana  sin op,DI,EQUIPOS ,FORMALETAS Y EQUIPOS,64260,64260,64260,64260,64260,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70152,Vibrocompactador ele concreto,DI,EQUIPOS ,FORMALETAS Y EQUIPOS,64260,64260,64260,64260,64260,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70155,"Motobomba de 3"" (pulg) sin op",DI,EQUIPOS ,FORMALETAS Y EQUIPOS,74256,74256,74256,74256,74256,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70164,Buldozer fiat 14c ripper,HO,EQUIPOS ,EQUIPO PESADO,183165,183165,183165,183165,183165,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70165,Retroexcavadora hitachi ex200,HO,EQUIPOS ,EQUIPO PESADO,180960,180960,180960,180960,180960,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70166,Motoniveladora 12f,HO,EQUIPOS ,EQUIPO PESADO,228956,228956,228956,228956,228956,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70167,Motoniveladora 8t,HO,EQUIPOS ,EQUIPO PESADO,210080,210080,210080,210080,210080,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70168,Cargador w-60,HO,EQUIPOS ,EQUIPO PESADO,143200,143200,143200,143200,143200,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,70170,Retroexcavadora oruga CAT 320D,HO,EQUIPOS ,EQUIPO PESADO,245050,245050,245050,245050,245050,,,,,,,,,,
